#
# Transition date estimate for harvardbarn2
#
# Site: harvardbarn2
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2020
# Final Processing Date: 2020-10-19
# Final Processing Time: 10:45:14
# Spline RMSE gcc_mean: 0.00387
# Spline RMSE gcc_50: 0.00395
# Spline RMSE gcc_75: 0.00394
# Spline RMSE gcc_90: 0.00431
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn2,DB,1000,rising,gcc_50,2019-05-13,2019-05-17,2019-05-22,2019-05-10,2019-05-16,2019-05-20,2019-05-15,2019-05-18,2019-05-23,0.30957,0.32612,0.35852,0.29882,0.41039
harvardbarn2,DB,1000,rising,gcc_50,2020-05-14,2020-05-18,2020-05-24,2020-05-07,2020-05-17,2020-05-22,2020-05-17,2020-05-20,2020-05-25,0.31174,0.32425,0.36169,0.30146,0.41218
harvardbarn2,DB,1000,rising,gcc_mean,2012-05-04,2012-05-07,2012-05-11,2012-05-02,2012-05-06,2012-05-10,2012-05-06,2012-05-09,2012-05-12,0.31029,0.3222,0.34921,0.30124,0.39548
harvardbarn2,DB,1000,rising,gcc_mean,2013-05-05,2013-05-08,2013-05-14,2013-05-04,2013-05-07,2013-05-12,2013-05-07,2013-05-10,2013-05-15,0.30896,0.32382,0.35882,0.30104,0.40521
harvardbarn2,DB,1000,rising,gcc_mean,2014-05-13,2014-05-16,2014-05-20,2014-05-12,2014-05-15,2014-05-18,2014-05-15,2014-05-17,2014-05-21,0.30941,0.3269,0.35957,0.29971,0.40878
harvardbarn2,DB,1000,rising,gcc_mean,2015-05-07,2015-05-10,2015-05-14,2015-05-06,2015-05-09,2015-05-13,2015-05-09,2015-05-11,2015-05-15,0.31804,0.33585,0.36664,0.3107,0.41848
harvardbarn2,DB,1000,rising,gcc_mean,2016-05-09,2016-05-15,2016-05-20,2016-05-06,2016-05-14,2016-05-19,2016-05-12,2016-05-17,2016-05-21,0.31432,0.33202,0.3644,0.30317,0.4238
harvardbarn2,DB,1000,rising,gcc_mean,2017-05-10,2017-05-15,2017-05-19,2017-05-08,2017-05-14,2017-05-18,2017-05-13,2017-05-16,2017-05-20,0.31765,0.33757,0.37508,0.30629,0.43197
harvardbarn2,DB,1000,rising,gcc_mean,2018-05-08,2018-05-12,2018-05-17,2018-05-07,2018-05-11,2018-05-15,2018-05-10,2018-05-13,2018-05-18,0.31343,0.33023,0.36182,0.30477,0.40746
harvardbarn2,DB,1000,rising,gcc_mean,2019-05-13,2019-05-17,2019-05-22,2019-05-10,2019-05-16,2019-05-21,2019-05-15,2019-05-18,2019-05-23,0.30762,0.3242,0.35689,0.29669,0.41001
harvardbarn2,DB,1000,rising,gcc_mean,2020-05-11,2020-05-18,2020-05-23,2020-04-28,2020-05-17,2020-05-22,2020-05-16,2020-05-20,2020-05-24,0.30992,0.32505,0.35407,0.29974,0.40735
harvardbarn2,DB,1000,falling,gcc_90,2019-10-19,2019-10-15,2019-10-10,2019-10-20,2019-10-16,2019-10-11,2019-10-16,2019-10-13,2019-10-08,0.30837,0.32586,0.35404,0.3012,0.40605
harvardbarn2,DB,1000,falling,gcc_90,2018-10-28,2018-10-21,2018-10-11,2018-10-29,2018-10-25,2018-10-14,2018-10-25,2018-10-17,2018-10-08,0.33343,0.34798,0.37059,0.3286,0.41185
